Pno,GuiltMoreLikely,GuiltLessLikely,NoInformation_Evidence,InnocentUntilProvenGuilty,Confound,Other
1,No,No,No,No,No,No
3,No,No,Yes,Yes,No,No
4,No,No,No,No,No,No
6,No,No,No,No,No,Yes
7,No,Yes,No,No,No,No
8,No,No,No,No,No,No
9,No,No,No,No,No,No
10,Yes,No,No,No,No,No
11,No,Yes,No,No,No,No
12,No,No,No,No,No,No
13,No,No,No,No,No,Yes
14,No,No,No,No,No,No
15,Yes,No,No,No,No,No
17,No,No,No,No,No,No
18,No,Yes,No,No,No,No
19,No,No,No,No,No,No
21,No,No,No,No,No,No
23,No,Yes,No,No,No,No
24,No,No,No,No,No,No
25,No,Yes,No,No,No,No
26,No,Yes,No,No,No,No
27,No,Yes,No,Yes,No,No
29,No,No,No,No,No,No
30,No,No,No,Yes,No,No
31,No,Yes,No,No,No,No
33,No,No,No,No,No,No
34,No,No,Yes,No,No,No
35,No,No,Yes,No,No,No
36,No,No,No,No,No,No
37,No,No,No,No,No,No
38,No,No,No,No,No,No
39,No,No,Yes,No,No,No
40,No,No,No,Yes,No,No
42,No,Yes,No,No,No,No
44,No,Yes,No,No,No,No
45,No,No,No,No,No,No
46,No,No,No,No,No,No
47,No,No,No,No,No,No
48,No,No,No,No,No,No
49,No,No,No,No,No,No
50,No,No,No,No,No,Yes
51,No,No,No,No,No,No
52,No,No,Yes,No,No,No
53,No,No,No,Yes,No,No
54,No,No,No,No,No,No
55,No,No,No,No,No,No
56,No,No,Yes,No,No,No
57,No,Yes,No,No,No,No
58,No,No,Yes,No,No,No
59,No,No,Yes,No,No,No
60,No,No,Yes,No,No,No
61,No,No,No,No,No,No
62,No,No,No,No,No,No
63,No,No,Yes,No,No,No
64,No,No,Yes,No,No,No
65,No,No,No,No,No,No
66,No,No,No,No,No,No
67,No,No,No,No,No,No
68,No,No,Yes,No,No,No
69,No,No,Yes,No,No,No
70,No,No,Yes,No,No,No
71,No,Yes,No,No,No,No
72,No,No,Yes,No,No,No
73,No,Yes,No,No,No,No
74,No,No,Yes,No,No,No
76,No,No,Yes,No,No,No
77,No,No,No,No,No,No
78,No,No,No,No,No,No
79,No,No,Yes,No,No,No
80,No,No,Yes,No,No,No
81,No,No,No,No,No,Yes
82,No,No,No,No,No,No
83,No,No,No,No,No,Yes
84,No,No,Yes,No,No,No
85,No,No,No,No,No,No
86,No,Yes,No,No,No,No
87,No,No,No,Yes,No,No
88,No,No,No,No,No,Yes
89,No,No,No,No,No,Yes
90,No,No,No,No,No,No
91,Yes,No,No,No,No,No
92,No,No,No,No,No,No
93,No,No,No,No,No,Yes
94,No,No,No,No,No,No
95,No,No,No,No,No,Yes
96,No,No,No,No,No,No
97,No,No,Yes,No,No,No
98,No,No,No,No,No,Yes
99,No,No,Yes,No,No,No
100,No,No,Yes,No,No,No
101,No,No,No,No,No,No
102,Yes,No,No,No,No,No
103,No,No,No,No,No,No
105,No,No,No,No,No,Yes
106,No,No,No,No,No,No
108,No,No,Yes,No,No,No
109,No,No,No,No,No,No
110,No,No,No,No,No,No
111,No,No,Yes,No,No,No
112,No,No,No,No,No,Yes
113,No,No,No,No,No,No
114,No,No,Yes,No,No,No
115,No,No,Yes,Yes,No,No
116,No,No,Yes,No,No,No
117,No,No,Yes,No,No,No
118,No,No,No,No,No,No
119,No,No,No,No,No,Yes
120,Yes,No,No,No,No,No
121,No,No,No,No,No,No
122,Yes,No,No,No,No,No
123,Yes,No,No,No,No,No
124,Yes,No,No,No,No,No
125,Yes,No,No,No,No,No
126,No,No,No,No,No,No
127,No,No,Yes,No,No,No
128,No,No,No,No,No,No
129,Yes,No,No,No,No,No
130,Yes,No,No,No,No,No
131,Yes,No,No,No,No,No
132,No,No,No,No,No,No
133,No,No,No,No,No,Yes
134,No,No,No,No,No,No
135,Yes,No,No,No,No,No
136,No,No,No,Yes,No,No
137,Yes,No,No,No,No,No
138,Yes,No,No,No,No,No
139,No,No,No,No,No,No
140,Yes,No,No,No,No,No
141,Yes,No,No,No,No,No
142,Yes,No,No,No,No,No
143,No,No,No,No,No,No
144,Yes,No,No,No,No,No
145,Yes,No,No,No,No,No
146,Yes,No,No,No,No,No
147,No,No,No,No,No,No
148,No,No,No,No,No,No
149,No,No,No,No,No,No
150,No,Yes,No,No,No,No
151,Yes,No,No,No,No,No
152,No,No,No,No,No,Yes
153,Yes,No,No,No,No,No
154,Yes,No,No,No,No,No
155,Yes,No,No,No,No,No
156,No,No,No,No,No,Yes
157,No,No,No,No,No,No
158,No,No,No,No,No,No
159,Yes,No,No,No,No,No
160,Yes,No,No,No,No,No
161,Yes,No,No,No,No,No
162,Yes,No,No,No,No,No
163,Yes,No,No,No,No,No
164,Yes,No,No,No,No,No
165,Yes,No,No,No,No,No
166,Yes,No,No,No,No,No
167,Yes,No,No,No,No,No
168,Yes,No,No,No,No,No
169,No,No,No,No,No,No
170,No,No,No,No,No,Yes
171,Yes,No,No,No,No,No
172,No,No,No,No,No,No
173,Yes,No,No,No,No,No
174,No,No,No,No,No,No
175,No,No,No,No,No,No
176,Yes,No,No,No,No,No
177,No,No,No,No,No,No
178,Yes,No,No,No,No,No
179,Yes,No,No,No,No,No
180,No,No,No,No,No,No
181,No,No,No,No,No,No
182,Yes,No,No,No,No,No
183,No,No,No,No,No,No
184,Yes,No,No,No,No,No
185,No,No,No,Yes,No,No
186,No,No,No,No,No,No
187,No,No,No,No,No,No
188,No,No,No,No,No,No
190,No,No,No,No,No,No
191,No,No,No,No,No,No
192,No,No,Yes,Yes,No,No
193,No,No,No,No,No,Yes
194,No,No,No,No,No,Yes
195,No,No,No,No,No,No
196,No,No,No,No,No,No
197,No,No,No,No,No,No
198,No,No,No,Yes,No,No
199,No,No,Yes,No,No,No
200,No,No,No,No,No,Yes
201,No,No,No,No,No,Yes
202,No,No,No,No,No,No
203,No,No,No,No,No,No
204,No,No,No,No,No,No
205,No,No,No,No,No,No
206,No,No,No,No,No,No
207,No,No,No,No,No,No
208,No,No,Yes,Yes,No,No
209,No,No,Yes,No,No,No
210,No,No,No,No,No,Yes
211,No,No,Yes,No,No,No
212,No,No,No,No,No,No
213,No,No,Yes,No,No,No
214,No,No,Yes,No,No,No
215,No,No,No,No,No,No
216,No,No,Yes,No,No,No
217,No,No,Yes,No,No,No
218,No,No,Yes,No,No,No
219,No,No,No,No,No,No
220,No,No,No,Yes,No,No
221,No,No,Yes,No,No,No
222,No,No,No,No,No,No
223,No,No,Yes,No,No,No
224,No,No,Yes,No,No,No
225,No,No,Yes,No,No,No
226,No,No,Yes,No,No,No
227,No,No,No,No,No,Yes
228,No,No,No,Yes,No,No
229,No,No,No,No,No,No
230,No,No,Yes,No,No,No
231,No,No,No,No,No,No
232,No,No,No,No,No,No
233,No,No,No,No,No,Yes
234,No,No,Yes,No,No,No
235,No,No,Yes,No,No,No
236,No,No,Yes,No,No,No
237,No,No,Yes,No,No,No
238,No,No,No,No,No,No
239,No,No,No,Yes,No,No
240,No,No,Yes,No,No,No
241,No,No,No,No,No,Yes
242,No,No,No,No,No,No
243,No,No,No,No,No,No
244,No,No,No,No,No,Yes
245,No,No,No,No,No,No
246,No,No,No,No,No,No
247,No,No,No,No,No,No
248,No,No,No,No,No,Yes
250,No,No,No,No,No,No
251,No,No,No,No,No,No
252,No,No,No,No,No,Yes
253,Yes,No,No,No,No,No
254,No,No,No,No,No,No
255,No,No,No,No,No,No
256,No,No,No,No,No,Yes
257,No,No,No,No,No,No
258,No,No,No,No,No,Yes
259,No,No,No,No,No,No
260,No,No,Yes,No,No,No
261,No,No,No,No,No,No
262,No,No,Yes,No,No,No
263,Yes,No,No,No,No,No
264,No,No,No,No,No,No
265,No,No,No,No,No,No
266,No,No,No,No,No,No
267,No,No,No,No,No,No
268,No,No,No,No,No,No
269,No,No,No,No,No,No
270,No,No,No,Yes,No,No
271,No,No,Yes,No,No,No
272,No,No,Yes,No,No,No
273,No,No,No,No,No,No
274,No,No,Yes,Yes,No,No
275,Yes,No,No,No,No,No
276,No,No,No,Yes,No,No
277,No,No,Yes,No,No,No
278,No,No,No,Yes,No,No
279,No,No,No,No,No,No
280,No,No,No,Yes,No,No
281,No,No,Yes,No,No,No
282,No,No,No,No,No,No
283,No,No,Yes,No,No,No
284,No,No,No,No,No,No
285,No,No,No,No,No,Yes
286,No,No,Yes,No,No,No
287,No,No,No,No,No,No
288,No,No,Yes,No,No,No
289,No,No,No,No,No,Yes
290,No,No,Yes,No,No,No
291,No,No,No,No,No,Yes
292,No,No,Yes,No,No,No
293,No,No,Yes,No,No,No
294,No,No,Yes,No,No,No
296,No,No,Yes,No,No,No
297,No,No,No,No,No,Yes
298,No,No,No,No,No,No
299,No,No,No,No,No,Yes
300,No,No,No,No,No,No
301,No,No,No,Yes,No,No
302,No,No,No,No,No,No
303,No,No,No,No,No,No
304,No,No,No,No,No,No
305,No,No,No,No,No,No
306,No,No,Yes,No,No,No
307,No,No,Yes,No,No,No
308,No,No,Yes,Yes,No,No
309,No,No,No,Yes,No,No
310,No,No,Yes,No,No,No
311,No,No,Yes,No,No,No
312,No,No,Yes,No,No,No
313,No,No,Yes,No,No,No
314,No,No,Yes,No,No,No
315,No,No,No,No,No,No
316,No,No,No,No,No,No
317,Yes,No,No,No,No,No
318,Yes,No,No,No,No,No
319,No,No,No,No,No,Yes
320,No,No,No,No,No,No
321,No,No,No,No,No,Yes
322,No,No,No,No,No,Yes
323,No,No,Yes,No,No,No
324,Yes,No,No,No,No,No
325,No,No,No,No,No,Yes
326,No,No,No,No,No,No
327,No,No,No,No,No,No
329,No,No,No,No,No,Yes
330,No,No,No,No,No,Yes
331,No,No,No,No,No,No
332,Yes,No,No,No,No,No
333,No,No,No,No,No,No
334,No,No,No,No,No,Yes
335,No,No,No,No,No,Yes
336,No,No,No,No,No,Yes
337,No,No,No,No,No,No
338,No,No,Yes,No,No,No
340,No,No,Yes,No,No,No
341,No,No,No,No,No,No
342,No,No,No,No,No,Yes
343,No,No,No,No,No,Yes
344,No,No,No,No,No,Yes
345,Yes,No,No,No,No,No
346,No,No,No,No,No,No
347,Yes,No,No,No,No,No
348,Yes,No,No,No,No,No
349,No,No,No,No,No,No
350,No,No,No,No,No,Yes
351,Yes,No,No,No,No,No
352,No,No,No,No,No,Yes
353,Yes,No,No,No,No,No
354,No,No,No,No,No,Yes
355,No,No,No,No,No,No
356,Yes,No,No,No,No,No
357,No,No,No,No,No,No
358,No,No,No,No,No,No
359,No,No,No,Yes,No,No
360,No,No,No,No,No,Yes
361,No,No,No,No,No,No
362,No,No,No,No,No,Yes
363,No,No,No,No,No,No
,No,No,No,No,No,Yes
,No,No,No,No,No,Yes
